[20:37:04.296] ======================================================================
[20:37:04.296] BTC 5m ARB SCANNER v3
[20:37:04.296] Threshold: YES_buy + NO_buy < $0.990
[20:37:04.296] Poll interval: 100ms
[20:37:04.296] Duration: 5 minutes
[20:37:04.296] ======================================================================
[20:37:04.450] CLOB API latency: 51.3ms (avg of 3)
[20:37:04.450] ⚠️  High latency — you're not co-located. Run from AWS eu-west-1 for <10ms.
[20:37:04.450] 
[20:37:04.450] Scanning... (Ctrl+C to stop)
[20:37:04.450] 
[20:37:04.472] 📊 Bitcoin Up or Down - March 24, 4:35PM-4:40PM ET
[20:37:04.472]    YES: 50479080100328806697...
[20:37:04.472]    NO:  13678910416501368810...
[20:37:04.472] 
[20:37:13.520] 🔄 SELL ARB | YES_sell=$0.810 + NO_sell=$0.200 = $1.0100 | spread=$0.0100
[20:37:13.637] 🔄 SELL ARB | YES_sell=$0.810 + NO_sell=$0.200 = $1.0100 | spread=$0.0100
[20:37:13.751] 🔄 SELL ARB | YES_sell=$0.810 + NO_sell=$0.200 = $1.0100 | spread=$0.0100
[20:37:13.865] 🔄 SELL ARB | YES_sell=$0.810 + NO_sell=$0.200 = $1.0100 | spread=$0.0100
[20:37:13.970] 🔄 SELL ARB | YES_sell=$0.810 + NO_sell=$0.200 = $1.0100 | spread=$0.0100
[20:37:14.087] 🔄 SELL ARB | YES_sell=$0.810 + NO_sell=$0.200 = $1.0100 | spread=$0.0100
[20:37:14.206] 🔄 SELL ARB | YES_sell=$0.810 + NO_sell=$0.200 = $1.0100 | spread=$0.0100
[20:37:14.322] 🎯 ARB #4 | T+134s | YES=$0.780 + NO=$0.200 = $0.9800 | spread=$0.0200 | profit@5shares=$0.10 | poll=115ms
[20:37:14.322] 🔄 SELL ARB | YES_sell=$0.800 + NO_sell=$0.220 = $1.0200 | spread=$0.0200
[20:37:14.451] 🔄 SELL ARB | YES_sell=$0.800 + NO_sell=$0.210 = $1.0100 | spread=$0.0100
[20:37:14.572]    └─ closed after 250ms
[20:37:14.572] 🔄 SELL ARB | YES_sell=$0.800 + NO_sell=$0.220 = $1.0200 | spread=$0.0200
[20:37:14.692] 🔄 SELL ARB | YES_sell=$0.790 + NO_sell=$0.220 = $1.0100 | spread=$0.0100
[20:37:14.809] 🔄 SELL ARB | YES_sell=$0.780 + NO_sell=$0.230 = $1.0100 | spread=$0.0100
[20:37:14.918] 🔄 SELL ARB | YES_sell=$0.780 + NO_sell=$0.230 = $1.0100 | spread=$0.0100
[20:37:15.022] 🔄 SELL ARB | YES_sell=$0.780 + NO_sell=$0.230 = $1.0100 | spread=$0.0100
[20:37:15.135] 🔄 SELL ARB | YES_sell=$0.780 + NO_sell=$0.230 = $1.0100 | spread=$0.0100
[20:37:15.254] 🔄 SELL ARB | YES_sell=$0.780 + NO_sell=$0.230 = $1.0100 | spread=$0.0100
[20:37:15.373] 🔄 SELL ARB | YES_sell=$0.780 + NO_sell=$0.230 = $1.0100 | spread=$0.0100
[20:37:15.497] 🔄 SELL ARB | YES_sell=$0.780 + NO_sell=$0.230 = $1.0100 | spread=$0.0100
[20:37:15.605] 🔄 SELL ARB | YES_sell=$0.780 + NO_sell=$0.230 = $1.0100 | spread=$0.0100
[20:37:15.717] 🔄 SELL ARB | YES_sell=$0.780 + NO_sell=$0.230 = $1.0100 | spread=$0.0100
[20:37:15.828] 🔄 SELL ARB | YES_sell=$0.780 + NO_sell=$0.240 = $1.0200 | spread=$0.0200
[20:37:15.939] 🔄 SELL ARB | YES_sell=$0.770 + NO_sell=$0.240 = $1.0100 | spread=$0.0100
[20:37:16.049] 🔄 SELL ARB | YES_sell=$0.770 + NO_sell=$0.240 = $1.0100 | spread=$0.0100
